Person,1,,,,,,,,
Person,2,,,,,,,,
Person,3,,,,,,,,
Person,4,,,,,,,,
Person,5,,,,,,,,
Person,6,,,,,,,,
Sale,2,1,,,,2869238,,,
Sale,3,1,,,,271997,,,
Sale,4,1,,,,185785,,,
Sale,5,1,,,,11650,,,
Sale,4,6,,,,185785,,,
ForumEvent,,,12,7,,,2/6/2018,,
ForumEvent,,,13,8,,,2/6/2018,,
ForumEvent,,,13,9,,,2/6/2018,,
ForumEvent,,,12,10,,,2/6/2018,,
ForumEvent,,,12,11,,,2/6/2018,,
Forum,,,13,,,,,,
Forum,,,12,,,,,,
Publication,,,,,14,,,,
Topic,,,,,,127197,,,
Topic,,,,,,179057,,,
Topic,,,,,,771572,,40.699945,-73.950148
Topic,,,,,,1049632,,40.665352,-73.969264
Topic,,,,,,69871376,,,
Topic,,,,,,44311,,,
Topic,,,,,,60,,40.67,-73.94
Topic,,,,,,43035,,,
Author,1,,,7,,,,,
Author,1,,,8,,,,,
Author,1,,,9,,,,,
Author,5,,,,14,,,,
HasTopic,,,,8,,44311,,,
HasTopic,,,,9,,44311,,,
HasTopic,,,,10,,127197,,,
HasTopic,,,,10,,179057,,,
HasTopic,,,,10,,771572,,,
HasTopic,,,,11,,1049632,,,
HasTopic,,,,11,,69871376,,,
HasTopic,,,13,,,60,,,
HasOrg,,,,,14,127197,,,
HasTopic,,,,,14,43035,,,
Includes,,,13,8,,,,,
Includes,,,13,9,,,,,
Includes,,,12,7,,,,,
Includes,,,12,10,,,,,
Includes,,,12,11,,,,,
